Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	11.463523
1	Clockticks	205724400000
1	Instructions Retired	235932900000
1	CPI Rate	0.871961
1	MUX Reliability	0.999874
1	Front-End Bound	24.0
2	Front-End Latency	14.4
3	ICache Misses	2.0
3	ITLB Overhead	0.4
3	Branch Resteers	4.7
4	Mispredicts Resteers	3.4
4	Clears Resteers	0.1
4	Unknown Branches	1.2
3	DSB Switches	2.6
3	Length Changing Prefixes	0.0
3	MS Switches	0.6
2	Front-End Bandwidth	9.7
3	Front-End Bandwidth MITE	15.4
3	Front-End Bandwidth DSB	16.8
3	Front-End Bandwidth LSD	1.1
3	(Info) DSB Coverage	61.2
3	(Info) LSD Coverage	10.0
1	Bad Speculation	6.5
2	Branch Mispredict	6.4
2	Machine Clears	0.1
1	Back-End Bound	24.0
2	Memory Bound	16.7
3	L1 Bound	11.9
4	DTLB Overhead	5.0
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	3.7
4	FB Full	64.3
3	L2 Bound	0.7
3	L3 Bound	4.5
4	Contested Accesses	2.7
4	Data Sharing	0.1
4	L3 Latency	11.5
4	SQ Full	2.5
3	DRAM Bound	18.7
4	Memory Bandwidth	44.8
4	Memory Latency	42.6
5	Local DRAM	30.2
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.6
4	Store Latency	28.4
5	Store L2	1.6
5	Store L3	9.2
5	Store Memory	17.6
4	False Sharing	1.6
4	Split Stores	0.2
4	DTLB Store Overhead	0.8
2	Core Bound	7.3
3	Divider	1.5
3	Port Utilization	19.9
4	Cycles of 0 Ports Utilized	65.1
4	Cycles of 1 Port Utilized	13.4
4	Cycles of 2 Ports Utilized	16.7
4	Cycles of 3+ Ports Utilized	35.1
5	Port 0	22.5
5	Port 1	22.1
5	Port 2	36.8
5	Port 3	37.5
5	Port 4	25.5
5	Port 5	22.1
5	Port 6	40.5
5	Port 7	15.9
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	45.4
2	General Retirement	44.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.8
3	Assists	0.0
1	Total Thread Count	147
1	Paused Time	0.0
1	Frame Count	19
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	171506886
1	Collection start time	21:10:10 15/12/2018 UTC
1	Collection stop time	21:10:22 15/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998469
2	Logical CPU Count	32
