Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	940.748491
1	Clockticks	4103857800000
1	Instructions Retired	8452970400000
1	CPI Rate	0.485493
1	MUX Reliability	0.997703
1	Front-End Bound	11.2
2	Front-End Latency	4.2
3	ICache Misses	1.1
3	ITLB Overhead	0.5
3	Branch Resteers	2.6
4	Mispredicts Resteers	2.1
4	Clears Resteers	0.1
4	Unknown Branches	0.4
3	DSB Switches	0.8
3	Length Changing Prefixes	0.0
3	MS Switches	2.6
2	Front-End Bandwidth	7.0
3	Front-End Bandwidth MITE	6.2
3	Front-End Bandwidth DSB	24.8
3	Front-End Bandwidth LSD	1.1
3	(Info) DSB Coverage	74.3
3	(Info) LSD Coverage	13.2
1	Bad Speculation	3.0
2	Branch Mispredict	2.8
2	Machine Clears	0.1
1	Back-End Bound	33.6
2	Memory Bound	14.0
3	L1 Bound	7.0
4	DTLB Overhead	2.5
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	7.5
4	FB Full	53.4
3	L2 Bound	1.5
3	L3 Bound	2.1
4	Contested Accesses	0.7
4	Data Sharing	0.2
4	L3 Latency	9.2
4	SQ Full	1.2
3	DRAM Bound	9.0
4	Memory Bandwidth	28.3
4	Memory Latency	49.1
5	Local DRAM	25.9
5	Remote DRAM	1.4
5	Remote Cache	0.0
3	Store Bound	8.9
4	Store Latency	24.7
5	Store L2	4.2
5	Store L3	5.4
5	Store Memory	15.1
4	False Sharing	0.1
4	Split Stores	0.4
4	DTLB Store Overhead	0.4
2	Core Bound	19.7
3	Divider	2.1
3	Port Utilization	40.2
4	Cycles of 0 Ports Utilized	41.5
4	Cycles of 1 Port Utilized	7.3
4	Cycles of 2 Ports Utilized	10.3
4	Cycles of 3+ Ports Utilized	23.9
5	Port 0	25.2
5	Port 1	25.1
5	Port 2	39.7
5	Port 3	41.0
5	Port 4	28.9
5	Port 5	25.3
5	Port 6	41.8
5	Port 7	17.9
4	Vector Capacity Usage (FPU)	20.9
1	Retiring	52.2
2	General Retirement	50.6
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	1.6
3	Assists	0.0
1	Total Thread Count	156
1	Paused Time	0.0
1	Frame Count	128
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2678125110
1	Collection start time	04:00:02 16/12/2018 UTC
1	Collection stop time	04:15:43 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998525
2	Logical CPU Count	32
