Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	341.355426
1	Clockticks	4491715200000
1	Instructions Retired	6986485800000
1	CPI Rate	0.642915
1	MUX Reliability	0.998818
1	Front-End Bound	24.3
2	Front-End Latency	10.7
3	ICache Misses	0.7
3	ITLB Overhead	0.1
3	Branch Resteers	1.1
4	Mispredicts Resteers	0.8
4	Clears Resteers	0.1
4	Unknown Branches	0.2
3	DSB Switches	4.1
3	Length Changing Prefixes	0.0
3	MS Switches	4.4
2	Front-End Bandwidth	13.6
3	Front-End Bandwidth MITE	24.5
3	Front-End Bandwidth DSB	13.9
3	Front-End Bandwidth LSD	1.6
3	(Info) DSB Coverage	40.8
3	(Info) LSD Coverage	10.7
1	Bad Speculation	1.5
2	Branch Mispredict	1.4
2	Machine Clears	0.2
1	Back-End Bound	13.0
2	Memory Bound	7.5
3	L1 Bound	14.4
4	DTLB Overhead	5.6
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.2
4	4K Aliasing	3.8
4	FB Full	68.7
3	L2 Bound	1.1
3	L3 Bound	1.3
4	Contested Accesses	0.1
4	Data Sharing	0.1
4	L3 Latency	3.4
4	SQ Full	5.7
3	DRAM Bound	6.1
4	Memory Bandwidth	27.6
4	Memory Latency	55.7
5	Local DRAM	11.2
5	Remote DRAM	1.5
5	Remote Cache	0.0
3	Store Bound	8.5
4	Store Latency	26.3
5	Store L2	4.5
5	Store L3	5.3
5	Store Memory	16.5
4	False Sharing	0.2
4	Split Stores	0.5
4	DTLB Store Overhead	1.1
2	Core Bound	5.5
3	Divider	0.0
3	Port Utilization	23.2
4	Cycles of 0 Ports Utilized	68.4
4	Cycles of 1 Port Utilized	9.8
4	Cycles of 2 Ports Utilized	16.5
4	Cycles of 3+ Ports Utilized	42.1
5	Port 0	31.5
5	Port 1	31.2
5	Port 2	38.1
5	Port 3	39.0
5	Port 4	32.0
5	Port 5	31.9
5	Port 6	47.2
5	Port 7	16.1
4	Vector Capacity Usage (FPU)	25.0
1	Retiring	61.1
2	General Retirement	55.6
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	5.6
3	Assists	0.0
1	Total Thread Count	151
1	Paused Time	0.0
1	Frame Count	133
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	2588770796
1	Collection start time	23:52:54 15/12/2018 UTC
1	Collection stop time	23:58:35 15/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998526
2	Logical CPU Count	32
