Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	290.620493
1	Clockticks	954634800000
1	Instructions Retired	1941909900000
1	CPI Rate	0.491596
1	MUX Reliability	0.996486
1	Front-End Bound	10.4
2	Front-End Latency	4.2
3	ICache Misses	1.2
3	ITLB Overhead	0.3
3	Branch Resteers	3.4
4	Mispredicts Resteers	2.8
4	Clears Resteers	0.1
4	Unknown Branches	0.5
3	DSB Switches	0.9
3	Length Changing Prefixes	0.0
3	MS Switches	1.4
2	Front-End Bandwidth	6.2
3	Front-End Bandwidth MITE	5.7
3	Front-End Bandwidth DSB	25.2
3	Front-End Bandwidth LSD	0.8
3	(Info) DSB Coverage	75.7
3	(Info) LSD Coverage	14.0
1	Bad Speculation	4.5
2	Branch Mispredict	4.3
2	Machine Clears	0.2
1	Back-End Bound	35.0
2	Memory Bound	15.1
3	L1 Bound	8.4
4	DTLB Overhead	3.5
4	Loads Blocked by Store Forwarding	0.1
4	Lock Latency	0.1
4	Split Loads	0.1
4	4K Aliasing	6.0
4	FB Full	59.8
3	L2 Bound	1.6
3	L3 Bound	2.8
4	Contested Accesses	2.4
4	Data Sharing	0.3
4	L3 Latency	10.0
4	SQ Full	1.6
3	DRAM Bound	9.1
4	Memory Bandwidth	24.9
4	Memory Latency	47.4
5	Local DRAM	21.0
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	9.4
4	Store Latency	26.2
5	Store L2	4.2
5	Store L3	5.5
5	Store Memory	16.4
4	False Sharing	0.2
4	Split Stores	0.3
4	DTLB Store Overhead	0.5
2	Core Bound	19.9
3	Divider	2.2
3	Port Utilization	41.2
4	Cycles of 0 Ports Utilized	41.1
4	Cycles of 1 Port Utilized	7.7
4	Cycles of 2 Ports Utilized	10.5
4	Cycles of 3+ Ports Utilized	22.9
5	Port 0	28.3
5	Port 1	25.1
5	Port 2	36.8
5	Port 3	37.9
5	Port 4	24.5
5	Port 5	25.8
5	Port 6	41.9
5	Port 7	15.0
4	Vector Capacity Usage (FPU)	21.0
1	Retiring	50.1
2	General Retirement	49.1
3	FP Arithmetic	0.2
4	FP x87	0.1
4	FP Scalar	0.2
4	FP Vector	0.0
3	Other	99.8
2	Microcode Sequencer	1.0
3	Assists	0.0
1	Total Thread Count	152
1	Paused Time	0.0
1	Frame Count	45
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	703104887
1	Collection start time	03:03:07 16/12/2018 UTC
1	Collection stop time	03:07:58 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998527
2	Logical CPU Count	32
