Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	12.073912
1	Clockticks	224674800000
1	Instructions Retired	243501300000
1	CPI Rate	0.922684
1	MUX Reliability	0.999223
1	Front-End Bound	21.5
2	Front-End Latency	12.0
3	ICache Misses	1.9
3	ITLB Overhead	0.3
3	Branch Resteers	4.9
4	Mispredicts Resteers	3.7
4	Clears Resteers	0.1
4	Unknown Branches	1.0
3	DSB Switches	2.5
3	Length Changing Prefixes	0.0
3	MS Switches	0.5
2	Front-End Bandwidth	9.5
3	Front-End Bandwidth MITE	13.3
3	Front-End Bandwidth DSB	17.4
3	Front-End Bandwidth LSD	1.0
3	(Info) DSB Coverage	63.6
3	(Info) LSD Coverage	9.5
1	Bad Speculation	6.8
2	Branch Mispredict	6.6
2	Machine Clears	0.2
1	Back-End Bound	29.9
2	Memory Bound	21.1
3	L1 Bound	10.9
4	DTLB Overhead	4.3
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	3.7
4	FB Full	66.9
3	L2 Bound	1.8
3	L3 Bound	4.6
4	Contested Accesses	10.9
4	Data Sharing	0.8
4	L3 Latency	10.0
4	SQ Full	3.4
3	DRAM Bound	18.7
4	Memory Bandwidth	47.8
4	Memory Latency	42.0
5	Local DRAM	26.3
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	11.9
4	Store Latency	34.1
5	Store L2	1.5
5	Store L3	12.6
5	Store Memory	20.0
4	False Sharing	0.8
4	Split Stores	0.2
4	DTLB Store Overhead	0.7
2	Core Bound	8.7
3	Divider	1.4
3	Port Utilization	19.9
4	Cycles of 0 Ports Utilized	61.2
4	Cycles of 1 Port Utilized	13.6
4	Cycles of 2 Ports Utilized	15.8
4	Cycles of 3+ Ports Utilized	31.8
5	Port 0	21.0
5	Port 1	19.9
5	Port 2	31.0
5	Port 3	31.6
5	Port 4	22.8
5	Port 5	20.6
5	Port 6	36.5
5	Port 7	13.4
4	Vector Capacity Usage (FPU)	0.0
1	Retiring	41.9
2	General Retirement	41.3
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Other	100.0
2	Microcode Sequencer	0.6
3	Assists	0.0
1	Total Thread Count	150
1	Paused Time	0.0
1	Frame Count	19
0	Collection and Platform Info	
1	Application Command Line	./driver 
1	User Name	root
1	Operating System	4.4.0-64-generic NAME="Ubuntu" VERSION="16.04.3 LTS (Xenial Xerus)" ID=ubuntu ID_LIKE=debian PRETTY_NAME="Ubuntu 16.04.3 LTS" VERSION_ID="16.04" HOME_URL="http://www.ubuntu.com/" SUPPORT_URL="http://help.ubuntu.com/" BUG_REPORT_URL="http://bugs.launchpad.net/ubuntu/" VERSION_CODENAME=xenial UBUNTU_CODENAME=xenial
1	Computer Name	ubuntu
1	Result Size	180723215
1	Collection start time	03:12:40 16/12/2018 UTC
1	Collection stop time	03:12:52 16/12/2018 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2099998572
2	Logical CPU Count	32
